source_id,date,action,url,status,message
SRC-WECA-0005,2026-06-25,seed_ingest,https://www.westofengland-ca.gov.uk/wp-content/uploads/2017/10/Item-12-Joint-Transport-Study-Final-Report-with-appendixes.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-WECA-0006,2026-06-25,seed_ingest,https://www.westofengland-ca.gov.uk/wp-content/uploads/2024/01/WoE-Local-Growth-Assurance-Framework-January-24.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-WECA-0007,2026-06-25,seed_ingest,https://www.westofengland-ca.gov.uk/wp-content/uploads/2025/09/WoE-Local-Growth-Assurance-Framework-July-25-Final.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-WECA-0008,2026-06-25,seed_ingest,https://www.westofengland-ca.gov.uk/wp-content/uploads/2023/11/Future4West-SOC-Final-26-Sept-2023-Acc.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-WECA-0009,2026-06-25,seed_ingest,https://www.westofengland-ca.gov.uk/wp-content/uploads/2022/09/Bristol-Bridge-Signals-Junction-and-Car-Park-VMS-Project-bsuiness-case.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-WECA-0010,2026-06-25,seed_ingest,https://www.westofengland-ca.gov.uk/wp-content/uploads/2019/02/6.-WofE-LIS-Economic-Connectivity-report.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-DFT-0001,2026-06-25,seed_ingest,https://www.gov.uk/government/publications/transport-business-case/transport-business-case-guidance,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-LEG-0001,2026-06-25,seed_ingest,https://www.legislation.gov.uk/ukpga/2000/38/notes/division/5/3/2,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-NOTT-0001,2026-06-25,seed_ingest,https://www.nottinghamcity.gov.uk/media/rqmnbl5i/annual-report-2023-2024.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-NOTT-0002,2026-06-25,seed_ingest,https://www.transportnottingham.com/wp-content/uploads/2024/03/WPL-report.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-ACADEMIC-0001,2026-06-25,seed_ingest,https://repository.lboro.ac.uk/articles/journal_contribution/Evaluating_the_impact_of_a_workplace_parking_levy_on_local_traffic_congestion_the_case_of_Nottingham_UK/9450983/1/files/17073008.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-ACADEMIC-0002,2026-06-25,seed_ingest,https://m4.ti.ch/fileadmin/POTERI/GC/allegati/rapporti/28708_8465%20R2%20-%20allegato%205%20-%20The%20impact%20of%20the%20Nottingham%20WPL%20on%20travel%20to%20work%20mode%20share.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-NOTT-0003,2026-06-25,seed_ingest,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/badges-and-permits/workplace-parking-levy/,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-NOTT-0004,2026-06-25,seed_ingest,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/badges-and-permits/workplace-parking-levy/cost-of-a-wpl-licence/,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-UK-0002,2026-06-25,seed_ingest,https://www.geoplace.co.uk/case-studies/workplace-parking-levy,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-TFL-0001,2026-06-25,seed_ingest,https://content.tfl.gov.uk/wpl-faqs-january-2020.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-UK-0003,2026-06-25,seed_ingest,https://consultations.leicester.gov.uk/sec/wpl/supporting_documents/WPL%20An%20evidencebased%20review%20of%20policy%20and%20prospects%20for%20Leicester%20.pdf,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-UK-0004,2026-06-25,seed_ingest,https://www.route-one.net/news/bristol-workplace-parking-levy-could-generate-long-term-bus-funds/,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-BCC-0019,2026-06-25,seed_ingest,https://thebristolcable.org/2023/08/bristol-transport-plan-workplace-parking-levy-dropped-council-publish-secret-report/,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-BCC-0020,2026-06-25,seed_ingest,https://www.bristolpost.co.uk/news/bristol-news/bristol-workplace-parking-levy-could-11025667,not_downloaded,Seed record ingested; source acquisition not yet run.
SRC-BCC-0021,2026-06-25,seed_ingest,https://bristolgreenparty.org.uk/wpl-amendment/,not_downloaded,Seed record ingested; source acquisition not yet run.
